Category,Field Name,Description,dtype
Interface Reboot,telemetry_restart_count,total count of telemetry restarts,number
Interface Reboot,ip_interface_1_reboot_count,total count of ip interface restarts,number
Interface Reboot,ethernet_interface_reboot_count,total count of ethernet interface restarts,number
Traffic,wifi_ssid_1_stats_retranscount_sum,wifi ssid packet retransmission count for 2.4GHz,number
Traffic,wifi_ssid_2_stats_retranscount_sum,wifi ssid packet retransmission count for 5GHz,number
Traffic,downlink_rate_max,maximum downlink rate,number
Traffic,uplink_rate_max,maximum uplink rate,number
Traffic,wifi_ssid_1_stats_unknownprotopacketsreceived_sum,wifi ssid 2.4GHz unknown proto packets received. High amount indicates router misconfiguration,number
Traffic,wifi_ssid_2_stats_unknownprotopacketsreceived_sum,wifi ssid 5GHz unknown proto packets received. High amount indicates router misconfiguration,number
Traffic,wifi_ssid_1_stats_bytessent_max,wifi ssid 2.4GHz max bytes sent,number
Traffic,wifi_ssid_1_stats_bytesreceived_max,wifi ssid 2.4GHz max bytes received,number
Traffic,wifi_ssid_2_stats_bytessent_max,wifi ssid 5GHz max bytes sent,number
Traffic,wifi_ssid_2_stats_bytesreceived_max,wifi ssid 5GHz max bytes received,number
Traffic,ip_interface_1_stats_bytessent_max,ip interface max bytes  sent,number
Traffic,ip_interface_1_stats_bytesreceived_max,ip interface max bytes received,number
Traffic,ethernet_link_1_stats_bytessent_max,ethernet max bytes sent ,number
Traffic,ethernet_link_1_stats_bytesreceived_max,ethernet max bytes received,number
Traffic,ppp_interface_1_stats_errorssent_max,ppp interface max errors sent,number
Traffic,wifi_ssid_1_stats_errorssent_max,wifi ssid 2.4GHz max errors sent,number
Traffic,wifi_ssid_2_stats_errorssent_max,wifi ssid 5GHz max errors sent,number
Traffic,ethernet_link_1_stats_errorssent_max,ethernet max errors sent,number
Traffic,wifi_ssid_1_stats_bytessent_datarate_max,wifi ssid 2.4GHz datarate max,number
Traffic,wifi_ssid_2_stats_bytessent_datarate_max,wifi ssid 5GHz datarate max,number
Traffic,ip_interface_1_stats_bytessent_datarate_max,ip interface datarate max,number
Traffic,ethernet_link_1_stats_bytessent_datarate_max,ethernet datarate max,number
Connected Devices,wifi_accesspoint_1_associateddevicenumberofentries_perc_max,percentage of associated devices linked to wifi 2.4GHz to the amount of total allowed,number
Connected Devices,wifi_accesspoint_2_associateddevicenumberofentries_perc_max,percentage of associated devices linked to wifi 2.4GHz to the amount of total allowed,number
Connected Devices,hosts_connected_device_number_max,"maximum number of devices connected (wifi, lan or ethernet)",number
